brand,category,component_subtype,series_name,component_name,nominal_size_mm,nominal_size_inch,flow_coefficient_type,flow_coefficient_value,capacity_kw,capacity_tons,connection_type,connection_standard,material,pressure_rating_bar,max_temperature_c,coolant_compatibility,estimated_price_usd,install_connection_time_min,part_number,source_catalog,source_page,datasheet_url,baseline_references,verification_status
Airedale,chiller,air_cooled_chiller,TurboChill DCS,TCF13R18K data centre chiller - 985 kW nominal gross cooling,,,,,985,280.1,,,Steel,,,Water/Glycol,,,TCF13R18K,Airedale TurboChill DCS product page,product page,https://www.airedale.com/products/dcs-chillers/turbochill-dcs/,ASHRAE TC 9.9,verified
Airedale,chiller,air_cooled_chiller,TurboChill DCS,TCF24R24G data centre chiller - 1600 kW nominal gross cooling,,,,,1600,455.0,,,Steel,,,Water/Glycol,,,TCF24R24G,Airedale TurboChill DCS product page,product page,https://www.airedale.com/products/dcs-chillers/turbochill-dcs/,ASHRAE TC 9.9,verified
Airedale,chiller,air_cooled_chiller,TurboChill DCS,TCC14R28K data centre chiller - 1850 kW nominal gross cooling,,,,,1850,526.0,,,Steel,,,Water/Glycol,,,TCC14R28K,Airedale TurboChill DCS product page,product page,https://www.airedale.com/products/dcs-chillers/turbochill-dcs/,ASHRAE TC 9.9,verified
