brand,category,component_subtype,series_name,component_name,nominal_size_mm,nominal_size_inch,flow_coefficient_type,flow_coefficient_value,capacity_kw,capacity_tons,connection_type,connection_standard,material,pressure_rating_bar,max_temperature_c,coolant_compatibility,estimated_price_usd,install_connection_time_min,part_number,source_catalog,source_page,datasheet_url,baseline_references,verification_status
Supermicro,cdu,in_rack_cdu,In-Rack CDU,In-rack CDU up to 250 kW - EIA form factor,,,,,250,71.09,,,Stainless Steel,,,Water/Glycol,,,LCS-SCDU-250L4001,Supermicro In-Rack CDU datasheet,datasheet,https://www.supermicro.com/datasheet/datasheet_In_Rack_CDU.pdf,OCP ORV3 + ASHRAE TC 9.9,verified
Supermicro,cdu,in_rack_cdu,In-Rack CDU,In-rack CDU up to 250 kW - OCP form factor,,,,,250,71.09,,,Stainless Steel,,,Water/Glycol,,,LCS-SCDU-250LP4002,Supermicro In-Rack CDU datasheet,datasheet,https://www.supermicro.com/datasheet/datasheet_In_Rack_CDU.pdf,OCP ORV3 + ASHRAE TC 9.9,verified
