brand,category,component_subtype,series_name,component_name,nominal_size_mm,nominal_size_inch,flow_coefficient_type,flow_coefficient_value,capacity_kw,capacity_tons,connection_type,connection_standard,material,pressure_rating_bar,max_temperature_c,coolant_compatibility,estimated_price_usd,install_connection_time_min,part_number,source_catalog,source_page,datasheet_url,baseline_references,verification_status
Parker,filter_dryer,liquid_line_filter_dryer,Catch-All,Catch-All C-032-S liquid line filter-drier 3 cu in - R-22 rating at 1 psi drop,6.35,0.25,,,5.28,1.5,ODF,ASME B16.22,Steel,44.8,,HFC/HCFC,,,C-032-S,Sporlan Bulletin 40-10 Catch-All Filter-Driers,bulletin 40-10,https://www.parker.com/content/dam/Parker-com/Literature/Sporlan/Sporlan-pdf-files/Sporlan-pdf-040/40-10-Catch-All-Filter-Driers.pdf,ASHRAE TC 9.9,verified
Parker,filter_dryer,liquid_line_filter_dryer,Catch-All,Catch-All C-052-S liquid line filter-drier 5 cu in - R-22 rating at 1 psi drop,6.35,0.25,,,7.39,2.1,ODF,ASME B16.22,Steel,44.8,,HFC/HCFC,,,C-052-S,Sporlan Bulletin 40-10 Catch-All Filter-Driers,bulletin 40-10,https://www.parker.com/content/dam/Parker-com/Literature/Sporlan/Sporlan-pdf-files/Sporlan-pdf-040/40-10-Catch-All-Filter-Driers.pdf,ASHRAE TC 9.9,verified
Parker,filter_dryer,liquid_line_filter_dryer,Catch-All,Catch-All C-083-S liquid line filter-drier 9 cu in - R-22 rating at 1 psi drop,9.52,0.375,,,18.29,5.2,ODF,ASME B16.22,Steel,44.8,,HFC/HCFC,,,C-083-S,Sporlan Bulletin 40-10 Catch-All Filter-Driers,bulletin 40-10,https://www.parker.com/content/dam/Parker-com/Literature/Sporlan/Sporlan-pdf-files/Sporlan-pdf-040/40-10-Catch-All-Filter-Driers.pdf,ASHRAE TC 9.9,verified
Parker,filter_dryer,liquid_line_filter_dryer,Catch-All,Catch-All C-084-S liquid line filter-drier 9 cu in - R-22 rating at 1 psi drop,12.7,0.5,,,30.6,8.7,ODF,ASME B16.22,Steel,44.8,,HFC/HCFC,,,C-084-S,Sporlan Bulletin 40-10 Catch-All Filter-Driers,bulletin 40-10,https://www.parker.com/content/dam/Parker-com/Literature/Sporlan/Sporlan-pdf-files/Sporlan-pdf-040/40-10-Catch-All-Filter-Driers.pdf,ASHRAE TC 9.9,verified
Parker,filter_dryer,liquid_line_filter_dryer,Catch-All,Catch-All C-165-S liquid line filter-drier 16 cu in - R-22 rating at 1 psi drop,12.7,0.5,,,48.53,13.8,ODF,ASME B16.22,Steel,44.8,,HFC/HCFC,,,C-165-S,Sporlan Bulletin 40-10 Catch-All Filter-Driers,bulletin 40-10,https://www.parker.com/content/dam/Parker-com/Literature/Sporlan/Sporlan-pdf-files/Sporlan-pdf-040/40-10-Catch-All-Filter-Driers.pdf,ASHRAE TC 9.9,verified
Parker,filter_dryer,liquid_line_filter_dryer,Catch-All,Catch-All C-305-S liquid line filter-drier 30 cu in - R-22 rating at 1 psi drop,15.88,0.625,,,59.43,16.9,ODF,ASME B16.22,Steel,44.8,,HFC/HCFC,,,C-305-S,Sporlan Bulletin 40-10 Catch-All Filter-Driers,bulletin 40-10,https://www.parker.com/content/dam/Parker-com/Literature/Sporlan/Sporlan-pdf-files/Sporlan-pdf-040/40-10-Catch-All-Filter-Driers.pdf,ASHRAE TC 9.9,verified
Parker,filter_dryer,liquid_line_filter_dryer,Catch-All,Catch-All C-417-S liquid line filter-drier 41 cu in - R-22 rating at 1 psi drop,22.22,0.875,,,77.72,22.1,ODF,ASME B16.22,Steel,44.8,,HFC/HCFC,,,C-417-S,Sporlan Bulletin 40-10 Catch-All Filter-Driers,bulletin 40-10,https://www.parker.com/content/dam/Parker-com/Literature/Sporlan/Sporlan-pdf-files/Sporlan-pdf-040/40-10-Catch-All-Filter-Driers.pdf,ASHRAE TC 9.9,verified
Parker,filter_dryer,liquid_line_filter_dryer,Catch-All,Catch-All C-609-S liquid line filter-drier 60 cu in - R-22 rating at 1 psi drop,28.57,1.125,,,116.76,33.2,ODF,ASME B16.22,Steel,44.8,,HFC/HCFC,,,C-609-S,Sporlan Bulletin 40-10 Catch-All Filter-Driers,bulletin 40-10,https://www.parker.com/content/dam/Parker-com/Literature/Sporlan/Sporlan-pdf-files/Sporlan-pdf-040/40-10-Catch-All-Filter-Driers.pdf,ASHRAE TC 9.9,verified
