brand,category,component_subtype,series_name,component_name,nominal_size_mm,nominal_size_inch,flow_coefficient_type,flow_coefficient_value,capacity_kw,capacity_tons,connection_type,connection_standard,material,pressure_rating_bar,max_temperature_c,coolant_compatibility,estimated_price_usd,install_connection_time_min,part_number,source_catalog,source_page,datasheet_url,baseline_references
Danfoss,strainer,line_strainer,FIA,FIA Strainer 3/4 DN20,20,0.75,Kv,6.5,,,DIN BW,EN 10220,Steel,52,150,Ammonia/CO2,,,FIA-20,AF234986442411en,xx,https://www.danfoss.com/en/products/dcs/valves/line-components/strainers/,ASHRAE TC 9.9
Danfoss,filter_dryer,hermetic_filter_dryer,DML,DML Filter Dryer 3/4,20,0.75,,,7.7,2.2,ODS,EN 378,Copper,46,120,R134a/R404A,,32,DML-20,DCR-DML,xx,https://www.danfoss.com/en/products/dcs/filter-driers/hermetic-filter-driers/,ASHRAE TC 9.9
Danfoss,valve,check_valve,SCA-X,Check Valve SCA-X DN20,20,0.75,Kv,5.8,,,DIN BW,EN 10220,Steel,52,150,Ammonia/CO2,,,SCA-X-20,Danfoss Industrial Valves,web,https://www.danfoss.com/en/products/dcs/valves/stop-check-valves/,ASHRAE TC 9.9
Danfoss,quick_disconnect,hand_mate_uqd,Hansen UQD,Hansen UQD02 dry-break coupling,3.16,0.124,Cv,0.33,,,Threaded,OCP UQD Rev 1.0,SS303,20.0,150,Water/Glycol,,1,Hansen UQD02,Danfoss Hansen UQD Fact Sheet,fact sheet,https://assets.danfoss.com/documents/latest/580741/AI423953312825en-001101.pdf,OCP UQD Rev 1.0
Danfoss,quick_disconnect,hand_mate_uqd,Hansen UQD,Hansen UQD04 dry-break coupling,6.3,0.248,Cv,1.37,,,Threaded,OCP UQD Rev 1.0,SS303,16.0,150,Water/Glycol,,1,Hansen UQD04,Danfoss Hansen UQD Fact Sheet,fact sheet,https://assets.danfoss.com/documents/latest/580741/AI423953312825en-001101.pdf,OCP UQD Rev 1.0
Danfoss,quick_disconnect,hand_mate_uqd,Hansen UQD,Hansen UQD06 dry-break coupling,7.9,0.311,Cv,2.37,,,Threaded,OCP UQD Rev 1.0,SS303,6.9,150,Water/Glycol,,1,Hansen UQD06,Danfoss Hansen UQD Fact Sheet,fact sheet,https://assets.danfoss.com/documents/latest/580741/AI423953312825en-001101.pdf,OCP UQD Rev 1.0
Danfoss,quick_disconnect,hand_mate_uqd,Hansen UQD,Hansen UQD08 dry-break coupling,10.0,0.394,Cv,5.32,,,Threaded,OCP UQD Rev 1.0,SS304,6.9,150,Water/Glycol,,1,Hansen UQD08,Danfoss Hansen UQD Fact Sheet,fact sheet,https://assets.danfoss.com/documents/latest/580741/AI423953312825en-001101.pdf,OCP UQD Rev 1.0
