brand,category,component_subtype,series_name,component_name,nominal_size_mm,nominal_size_inch,flow_coefficient_type,flow_coefficient_value,capacity_kw,capacity_tons,connection_type,connection_standard,material,pressure_rating_bar,max_temperature_c,coolant_compatibility,estimated_price_usd,install_connection_time_min,part_number,source_catalog,source_page,datasheet_url,baseline_references,verification_status
Vertiv,cdu,facility_cdu,Liebert XDU,XDU450 CDU - 453 kW at 4C approach - 2.5 in hygienic flange secondary,63.5,2.5,,,453,128.8,Hygienic Flange,ASME BPE,Stainless Steel,10,60,Water/Glycol,,120,XDU450,Vertiv XDU450 CDU datasheet SL-07622,datasheet,https://www.vertiv.com/48eb63/globalassets/products/thermal-management/high-density-solutions/liebert-xdu-coolant-distribution-units/vertiv-xdu450-cdu-ds-en-na-sl-07622-web.pdf,OCP ORV3 + ASHRAE TC 9.9,verified
Vertiv,chiller,air_cooled_chiller,Liebert HPC-S,Air-cooled freecooling chiller,100,4.0,,,1200,341,Flanged,EN 1092-1,Steel,10,46,Water/Glycol,,420,HPCS-1200,Vertiv HPC-S docs,web,https://www.vertiv.com/en-us/products-catalog/thermal-management/free-cooling-chillers/liebert-hpc-s---air-cooled-freecooling-and-adiabatic-freecooling-chillers/,ASHRAE TC 9.9,unverified
Vertiv,cdu,liquid_to_air_cdu,CoolChip CDU,CoolChip CDU 70 liquid-to-air at 11C approach,,,,,70,19.9,,,,,,Water/Glycol,,,CoolChip CDU 70,Vertiv CoolChip CDU product page,product page,https://www.vertiv.com/en-us/products-catalog/thermal-management/high-density-solutions/vertiv-coolchip-cdu/,OCP ORV3 + ASHRAE TC 9.9,verified
Vertiv,cdu,rack_cdu,CoolChip CDU,CoolChip CDU 121 liquid-to-liquid at 4C approach,,,,,121,34.4,,,,,,Water/Glycol,,,CoolChip CDU 121,Vertiv CoolChip CDU product page,product page,https://www.vertiv.com/en-us/products-catalog/thermal-management/high-density-solutions/vertiv-coolchip-cdu/,OCP ORV3 + ASHRAE TC 9.9,verified
Vertiv,cdu,in_row_cdu,CoolChip CDU,CoolChip CDU 600 liquid-to-liquid at 4C approach,,,,,600,170.6,,,,,,Water/Glycol,,,CoolChip CDU 600,Vertiv CoolChip CDU product page,product page,https://www.vertiv.com/en-us/products-catalog/thermal-management/high-density-solutions/vertiv-coolchip-cdu/,OCP ORV3 + ASHRAE TC 9.9,verified
Vertiv,cdu,in_row_cdu,CoolChip CDU,CoolChip CDU 1350 liquid-to-liquid at 4C approach,,,,,1350,383.9,,,,,,Water/Glycol,,,CoolChip CDU 1350,Vertiv CoolChip CDU product page,product page,https://www.vertiv.com/en-us/products-catalog/thermal-management/high-density-solutions/vertiv-coolchip-cdu/,OCP ORV3 + ASHRAE TC 9.9,verified
Vertiv,cdu,facility_cdu,CoolChip CDU,CoolChip CDU 2300 liquid-to-liquid at 4C approach,,,,,2300,654.0,,,,,,Water/Glycol,,,CoolChip CDU 2300,Vertiv CoolChip CDU product page,product page,https://www.vertiv.com/en-us/products-catalog/thermal-management/high-density-solutions/vertiv-coolchip-cdu/,OCP ORV3 + ASHRAE TC 9.9,verified
