brand,category,component_subtype,series_name,component_name,nominal_size_mm,nominal_size_inch,flow_coefficient_type,flow_coefficient_value,capacity_kw,capacity_tons,connection_type,connection_standard,material,pressure_rating_bar,max_temperature_c,coolant_compatibility,estimated_price_usd,install_connection_time_min,part_number,source_catalog,source_page,datasheet_url,baseline_references,verification_status
Pratt Industrial,valve,shutoff_valve,HE Series,HE Series high performance butterfly valve 2 in - Cv at full open,50.8,2,Cv,88,,,Lug,ASME Class 150,,,,Water/Glycol,,,HE Series 2 in,Pratt HE Series Cv table Class 150,Cv table,https://prattindl.com/wp-content/uploads/HE-Cv-Table-Class-150.pdf,ASHRAE TC 9.9,verified
Pratt Industrial,valve,shutoff_valve,HE Series,HE Series high performance butterfly valve 2.5 in - Cv at full open,63.5,2.5,Cv,150,,,Lug,ASME Class 150,,,,Water/Glycol,,,HE Series 2.5 in,Pratt HE Series Cv table Class 150,Cv table,https://prattindl.com/wp-content/uploads/HE-Cv-Table-Class-150.pdf,ASHRAE TC 9.9,verified
Pratt Industrial,valve,shutoff_valve,HE Series,HE Series high performance butterfly valve 3 in - Cv at full open,76.2,3,Cv,227,,,Lug,ASME Class 150,,,,Water/Glycol,,,HE Series 3 in,Pratt HE Series Cv table Class 150,Cv table,https://prattindl.com/wp-content/uploads/HE-Cv-Table-Class-150.pdf,ASHRAE TC 9.9,verified
Pratt Industrial,valve,shutoff_valve,HE Series,HE Series high performance butterfly valve 4 in - Cv at full open,101.6,4,Cv,410,,,Lug,ASME Class 150,,,,Water/Glycol,,,HE Series 4 in,Pratt HE Series Cv table Class 150,Cv table,https://prattindl.com/wp-content/uploads/HE-Cv-Table-Class-150.pdf,ASHRAE TC 9.9,verified
Pratt Industrial,valve,shutoff_valve,HE Series,HE Series high performance butterfly valve 5 in - Cv at full open,127.0,5,Cv,740,,,Lug,ASME Class 150,,,,Water/Glycol,,,HE Series 5 in,Pratt HE Series Cv table Class 150,Cv table,https://prattindl.com/wp-content/uploads/HE-Cv-Table-Class-150.pdf,ASHRAE TC 9.9,verified
Pratt Industrial,valve,shutoff_valve,HE Series,HE Series high performance butterfly valve 6 in - Cv at full open,152.4,6,Cv,1060,,,Lug,ASME Class 150,,,,Water/Glycol,,,HE Series 6 in,Pratt HE Series Cv table Class 150,Cv table,https://prattindl.com/wp-content/uploads/HE-Cv-Table-Class-150.pdf,ASHRAE TC 9.9,verified
Pratt Industrial,valve,shutoff_valve,HE Series,HE Series high performance butterfly valve 8 in - Cv at full open,203.2,8,Cv,2200,,,Lug,ASME Class 150,,,,Water/Glycol,,,HE Series 8 in,Pratt HE Series Cv table Class 150,Cv table,https://prattindl.com/wp-content/uploads/HE-Cv-Table-Class-150.pdf,ASHRAE TC 9.9,verified
Pratt Industrial,valve,shutoff_valve,HE Series,HE Series high performance butterfly valve 10 in - Cv at full open,254.0,10,Cv,3400,,,Lug,ASME Class 150,,,,Water/Glycol,,,HE Series 10 in,Pratt HE Series Cv table Class 150,Cv table,https://prattindl.com/wp-content/uploads/HE-Cv-Table-Class-150.pdf,ASHRAE TC 9.9,verified
Pratt Industrial,valve,shutoff_valve,HE Series,HE Series high performance butterfly valve 12 in - Cv at full open,304.8,12,Cv,4700,,,Lug,ASME Class 150,,,,Water/Glycol,,,HE Series 12 in,Pratt HE Series Cv table Class 150,Cv table,https://prattindl.com/wp-content/uploads/HE-Cv-Table-Class-150.pdf,ASHRAE TC 9.9,verified
