brand,category,component_subtype,series_name,component_name,nominal_size_mm,nominal_size_inch,flow_coefficient_type,flow_coefficient_value,capacity_kw,capacity_tons,connection_type,connection_standard,material,pressure_rating_bar,max_temperature_c,coolant_compatibility,estimated_price_usd,install_connection_time_min,part_number,source_catalog,source_page,datasheet_url,baseline_references
Boyd,cdu,rack_cdu,10U CDU,10U liquid-to-air CDU 32 kW,38.1,1.5,,,32,9.1,Sanitary Flange,ASME BPE Tri-Clamp,Stainless Steel,5.0,45,Water/EGW/PGW,,,Boyd 10U CDU,Boyd 10U CDU Technical Datasheet,datasheet,https://info.boydcorp.com/hubfs/Thermal/Liquid-Cooling/Boyd-10U-Cooling-Distribution-Unit-CDU.pdf,OCP ORV3 + ASHRAE TC 9.9
Boyd,cdu,rack_cdu,In-Rack CDU,In-rack CDU 60 kW 2U/4U,38.1,1.5,,,60,17.1,Sanitary Flange,ASME BPE Tri-Clamp,Stainless Steel,10.0,,Water,,,Boyd In-Rack CDU 60,Boyd Coolant Distribution Units brochure,brochure,https://info.boydcorp.com/hubfs/Thermal/Liquid-Cooling/Boyd-Coolant-Distribution-Units.pdf,OCP ORV3 + ASHRAE TC 9.9
Boyd,cdu,in_row_cdu,In-Row CDU,In-row CDU 305 kW 4C approach,50.8,2.0,,,305,86.7,Oval Flange,Vendor Specific,Copper,,,Water/PGW25/EGW25,,,Boyd In-Row CDU 305,Boyd Coolant Distribution Units brochure,brochure,https://info.boydcorp.com/hubfs/Thermal/Liquid-Cooling/Boyd-Coolant-Distribution-Units.pdf,OCP ORV3 + ASHRAE TC 9.9
