brand,category,component_subtype,series_name,component_name,nominal_size_mm,nominal_size_inch,flow_coefficient_type,flow_coefficient_value,capacity_kw,capacity_tons,connection_type,connection_standard,material,pressure_rating_bar,max_temperature_c,coolant_compatibility,estimated_price_usd,install_connection_time_min,part_number,source_catalog,source_page,datasheet_url,baseline_references
Staubli,quick_disconnect,hand_mate_uqd,UQD 02,UQD02 thermal management coupling DN3,3.0,0.118,Cv,0.37,,,Threaded,OCP UQD Rev 1.0,Stainless Steel,16.0,150,Water/Glycol,,1,UQD02.1411/UN/JE/KR,Staubli UQD Thermal Management Brochure,brochure,https://www.staubli.com/content/dam/fcs/brochures/products/uqd/uqd-thermal-management-standard-staubli-en.pdf,OCP UQD Rev 1.0
Staubli,quick_disconnect,hand_mate_uqd,UQD 04,UQD04 thermal management coupling DN6,6.0,0.236,Cv,1.15,,,Threaded,OCP UQD Rev 1.0,Stainless Steel,16.0,150,Water/Glycol,,1,UQD04.1414/UN/JE/KB,Staubli UQD Thermal Management Brochure,brochure,https://www.staubli.com/content/dam/fcs/brochures/products/uqd/uqd-thermal-management-standard-staubli-en.pdf,OCP UQD Rev 1.0
Staubli,quick_disconnect,hand_mate_uqd,UQD 06,UQD06 thermal management coupling DN7,7.0,0.276,Cv,2.52,,,Threaded,OCP UQD Rev 1.0,Stainless Steel,16.0,150,Water/Glycol,,1,UQD06.1419/UN/JE/KR,Staubli UQD Thermal Management Brochure,brochure,https://www.staubli.com/content/dam/fcs/brochures/products/uqd/uqd-thermal-management-standard-staubli-en.pdf,OCP UQD Rev 1.0
Staubli,quick_disconnect,hand_mate_uqd,UQD 08,UQD08 thermal management coupling DN10,10.0,0.394,Cv,3.65,,,Threaded,OCP UQD Rev 1.0,Stainless Steel,16.0,150,Water/Glycol,,1,UQD08.1422/UN/JE/KB,Staubli UQD Thermal Management Brochure,brochure,https://www.staubli.com/content/dam/fcs/brochures/products/uqd/uqd-thermal-management-standard-staubli-en.pdf,OCP UQD Rev 1.0
Staubli,quick_disconnect,blind_mate_uqd,UQDB 04,UQDB04 blind-mate coupling DN6 socket,6.0,0.236,Cv,1.25,,,Blind Mate,OCP UQD Rev 1.0,Stainless Steel,16.0,100,Water/Glycol,,0.5,UQDB04.2419/UN/JE,Staubli UQD Thermal Management Brochure,brochure,https://www.staubli.com/content/dam/fcs/brochures/products/uqd/uqd-thermal-management-standard-staubli-en.pdf,OCP UQD Rev 1.0
