brand,category,component_subtype,series_name,component_name,nominal_size_mm,nominal_size_inch,flow_coefficient_type,flow_coefficient_value,capacity_kw,capacity_tons,connection_type,connection_standard,material,pressure_rating_bar,max_temperature_c,coolant_compatibility,estimated_price_usd,install_connection_time_min,part_number,source_catalog,source_page,datasheet_url,baseline_references,verification_status
Johnson Controls,cdu,in_row_cdu,Silent-Aire CDU,Silent-Aire CDU glycol design - 1050 kW at 5.2 C approach on 25% propylene glycol,,,,,1050,,,,,,,Propylene Glycol 25%,,,JCI-CDU-1050,Johnson Controls Silent-Aire CDU data sheet,data sheet,https://www.silent-aire.com/wp-content/uploads/2025/09/Silent-Aire-CDU-Data-Sheet.pdf,ASHRAE TC 9.9,verified
Johnson Controls,cdu,in_row_cdu,Silent-Aire CDU,Silent-Aire CDU water design - 1400 kW at 3.5 C approach,,,,,1400,,,,,,,Water,,,JCI-CDU-1400,Johnson Controls Silent-Aire CDU data sheet,data sheet,https://www.silent-aire.com/wp-content/uploads/2025/09/Silent-Aire-CDU-Data-Sheet.pdf,ASHRAE TC 9.9,verified
