brand,category,component_subtype,series_name,component_name,nominal_size_mm,nominal_size_inch,flow_coefficient_type,flow_coefficient_value,capacity_kw,capacity_tons,connection_type,connection_standard,material,pressure_rating_bar,max_temperature_c,coolant_compatibility,estimated_price_usd,install_connection_time_min,part_number,source_catalog,source_page,datasheet_url,baseline_references,verification_status
CPC,quick_disconnect,hand_mate_uqd,Everis UQD02,UQD02 dry-break coupling 1/4 in ID hose barb,6.4,0.25,Cv,0.37,,,Hose Barb,OCP UQD Rev 1.0,303 Stainless Steel,8.3,75,Water/Glycol,,1,4238300,CPC Everis UQD02 Spec Sheet,spec sheet,https://www.cpcworldwide.com/Portals/0/Downloadable-Content/TRM/Literature/Spec-Sheets/CPC-Everis-UQD02-Spec-Sheet.pdf,OCP UQD Rev 1.0,verified
CPC,quick_disconnect,hand_mate_uqd,Everis UQD02,UQD02 dry-break coupling SAE-4 straight thread,6.4,0.25,Cv,0.37,,,SAE Straight Thread,OCP UQD Rev 1.0,303 Stainless Steel,8.3,75,Water/Glycol,,1,4238400,CPC Everis UQD02 Spec Sheet,spec sheet,https://www.cpcworldwide.com/Portals/0/Downloadable-Content/TRM/Literature/Spec-Sheets/CPC-Everis-UQD02-Spec-Sheet.pdf,OCP UQD Rev 1.0,verified
CPC,quick_disconnect,hand_mate_uqd,Everis UQD04,UQD04 dry-break coupling 3/8 in ID hose barb,9.5,0.375,Cv,1.3,,,Hose Barb,OCP UQD Rev 1.0,303 Stainless Steel,8.3,75,Water/Glycol,,1,4211200,CPC Everis UQD04 Spec Sheet,spec sheet,https://assets.unilogcorp.com/526/ITEM/DOC/CPC_4211200_Specification_Sheet.pdf,OCP UQD Rev 1.0,verified
CPC,quick_disconnect,hand_mate_uqd,Everis UQD04,UQD04 dry-break coupling SAE-6 straight thread,9.5,0.375,Cv,1.3,,,SAE Straight Thread,OCP UQD Rev 1.0,303 Stainless Steel,8.3,75,Water/Glycol,,1,4211500,CPC Everis UQD04 Spec Sheet,spec sheet,https://assets.unilogcorp.com/526/ITEM/DOC/CPC_4211200_Specification_Sheet.pdf,OCP UQD Rev 1.0,verified
