brand,category,component_subtype,series_name,component_name,nominal_size_mm,nominal_size_inch,flow_coefficient_type,flow_coefficient_value,capacity_kw,capacity_tons,connection_type,connection_standard,material,pressure_rating_bar,max_temperature_c,coolant_compatibility,estimated_price_usd,install_connection_time_min,part_number,source_catalog,source_page,datasheet_url,baseline_references,verification_status
Motivair,cdu,in_rack_cdu,MCDU,MCDU-4U coolant distribution unit - 101.1 kW rated capacity,38.1,1.5,,,101.1,,Threaded,,Stainless Steel,,,Water/Glycol,,,MCDU-4U,Motivair by Schneider Electric CDU 2026 brochure,brochure,https://www.motivaircorp.com/uploads/files/brochures/CDU%202026%20Motivair%20by%20SE.pdf,OCP ORV3 + ASHRAE TC 9.9,verified
Motivair,cdu,in_row_cdu,MCDU,MCDU-10 coolant distribution unit - 203.5 kW rated capacity,38.1,1.5,,,203.5,,Threaded,,Stainless Steel,,,Water/Glycol,,,MCDU-10,Motivair by Schneider Electric CDU 2026 brochure,brochure,https://www.motivaircorp.com/uploads/files/brochures/CDU%202026%20Motivair%20by%20SE.pdf,OCP ORV3 + ASHRAE TC 9.9,verified
Motivair,cdu,in_row_cdu,MCDU,MCDU-25 coolant distribution unit - 606.58 kW rated capacity,63.5,2.5,,,606.58,,Threaded,,Stainless Steel,,,Water/Glycol,,,MCDU-25,Motivair by Schneider Electric CDU 2026 brochure,brochure,https://www.motivaircorp.com/uploads/files/brochures/CDU%202026%20Motivair%20by%20SE.pdf,OCP ORV3 + ASHRAE TC 9.9,verified
Motivair,cdu,in_row_cdu,MCDU,MCDU-40 coolant distribution unit - 1213.15 kW rated capacity,101.6,4.0,,,1213.15,,Threaded,,Stainless Steel,,,Water/Glycol,,,MCDU-40,Motivair by Schneider Electric CDU 2026 brochure,brochure,https://www.motivaircorp.com/uploads/files/brochures/CDU%202026%20Motivair%20by%20SE.pdf,OCP ORV3 + ASHRAE TC 9.9,verified
Motivair,cdu,in_row_cdu,MCDU,MCDU-45 coolant distribution unit - 1567 kW rated capacity,76.2,3.0,,,1567,,Threaded,,Stainless Steel,,,Water/Glycol,,,MCDU-45,Motivair by Schneider Electric CDU 2026 brochure,brochure,https://www.motivaircorp.com/uploads/files/brochures/CDU%202026%20Motivair%20by%20SE.pdf,OCP ORV3 + ASHRAE TC 9.9,verified
Motivair,cdu,in_row_cdu,MCDU,MCDU-50 coolant distribution unit - 1718.64 kW rated capacity,101.6,4.0,,,1718.64,,Threaded,,Stainless Steel,,,Water/Glycol,,,MCDU-50,Motivair by Schneider Electric CDU 2026 brochure,brochure,https://www.motivaircorp.com/uploads/files/brochures/CDU%202026%20Motivair%20by%20SE.pdf,OCP ORV3 + ASHRAE TC 9.9,verified
Motivair,cdu,in_row_cdu,MCDU,MCDU-55 coolant distribution unit - 2192 kW rated capacity,101.6,4.0,,,2192,,Threaded,,Stainless Steel,,,Water/Glycol,,,MCDU-55,Motivair by Schneider Electric CDU 2026 brochure,brochure,https://www.motivaircorp.com/uploads/files/brochures/CDU%202026%20Motivair%20by%20SE.pdf,OCP ORV3 + ASHRAE TC 9.9,verified
Motivair,cdu,facility_cdu,MCDU,MCDU-70 coolant distribution unit - 5040 kW rated capacity,152.4,6.0,,,5040,,Threaded,,Stainless Steel,,,Water/Glycol,,,MCDU-70,Motivair by Schneider Electric CDU 2026 brochure,brochure,https://www.motivaircorp.com/uploads/files/brochures/CDU%202026%20Motivair%20by%20SE.pdf,OCP ORV3 + ASHRAE TC 9.9,verified
