brand,category,component_subtype,series_name,component_name,nominal_size_mm,nominal_size_inch,flow_coefficient_type,flow_coefficient_value,capacity_kw,capacity_tons,connection_type,connection_standard,material,pressure_rating_bar,max_temperature_c,coolant_compatibility,estimated_price_usd,install_connection_time_min,part_number,source_catalog,source_page,datasheet_url,baseline_references
Gates,quick_disconnect,hand_mate_uqd,UQD02,UQD02 dry-break coupling ORB plug,3.0,0.118,Cv,0.54,,,ORB,OCP UQD Rev 1.0,316L Stainless Steel,20.0,120,Water/Glycol,,1,7245-00167,Gates UQD Couplings Spec Sheet,spec sheet,https://www.gates.com/content/dam/documents-library/flyers/uqd-couplings-spec-sheet-letter-na-en.pdf,OCP UQD Rev 1.0
Gates,quick_disconnect,hand_mate_uqd,UQD04,UQD04 dry-break coupling ORB plug,5.0,0.197,Cv,1.53,,,ORB,OCP UQD Rev 1.0,316L Stainless Steel,20.0,120,Water/Glycol,,1,7245-00189,Gates UQD Couplings Spec Sheet,spec sheet,https://www.gates.com/content/dam/documents-library/flyers/uqd-couplings-spec-sheet-letter-na-en.pdf,OCP UQD Rev 1.0
Gates,quick_disconnect,hand_mate_uqd,UQD06,UQD06 dry-break coupling ORB plug,7.0,0.276,Cv,2.45,,,ORB,OCP UQD Rev 1.0,316L Stainless Steel,20.0,120,Water/Glycol,,1,7245-00203,Gates UQD Couplings Spec Sheet,spec sheet,https://www.gates.com/content/dam/documents-library/flyers/uqd-couplings-spec-sheet-letter-na-en.pdf,OCP UQD Rev 1.0
Gates,quick_disconnect,hand_mate_uqd,UQD08,UQD08 dry-break coupling ORB plug,10.0,0.394,Cv,4.25,,,ORB,OCP UQD Rev 1.0,316L Stainless Steel,20.0,120,Water/Glycol,,1,7245-00227,Gates UQD Couplings Spec Sheet,spec sheet,https://www.gates.com/content/dam/documents-library/flyers/uqd-couplings-spec-sheet-letter-na-en.pdf,OCP UQD Rev 1.0
